Date,Occupancy rate,G&A beds occ'd,G&A Beds Open,G&A beds unavailable to non-covid admissions “void”,CC Adult Open,CC Adult Occ,Critical care beds occupancy rate,No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),No. beds occupied by flu patients (G&A),No. beds occupied by flu patients (Critical Care),Closures,Diverts,Delays30,Delays60,No. unoccupied beds closed due to norovirus etc.,year,day_of_year
2022-11-27T00:00:00Z,0.9349703348504551,92031,98432,228,3976,3067,0.7713782696177063,46264,18415,539,47,0,1,1572,1420,NA,2022-23,2022-11-27
2022-11-28T00:00:00Z,0.9457663859980129,94239,99643,179,3990,3060,0.7669172932330827,48383,19027,618,53,0,2,1830,2180,NA,2022-23,2022-11-28
2022-11-29T00:00:00Z,0.9501093121895685,94305,99257,148,3985,3187,0.7997490589711418,48687,18976,639,57,0,2,1795,1922,NA,2022-23,2022-11-29
2022-11-30T00:00:00Z,0.9517426003643207,94568,99363,169,4010,3261,0.813216957605985,48687,18935,675,58,0,11,1865,1824,NA,2022-23,2022-11-30
2022-12-01T00:00:00Z,0.9510089338415518,95060,99957,178,4042,3343,0.8270658090054428,48536,18925,712,61,0,3,1861,1676,NA,2022-23,2022-12-01
2022-12-02T00:00:00Z,0.9476246281438745,94608,99837,176,4028,3281,0.8145481628599801,48126,18689,759,62,0,2,1885,1436,NA,2022-23,2022-12-02
2022-12-03T00:00:00Z,0.9358649024228143,92937,99306,200,4015,3238,0.8064757160647572,46974,18506,767,61,0,4,1679,1083,NA,2022-23,2022-12-03
2022-12-04T00:00:00Z,0.933200931517345,92567,99193,200,3984,3115,0.7818775100401606,47047,18630,816,66,0,2,1683,1175,NA,2022-23,2022-12-04
2022-12-05T00:00:00Z,0.9406660648008828,93775,99690,209,4004,3095,0.772977022977023,48914,19121,966,82,0,6,1893,1949,NA,2022-23,2022-12-05
2022-12-06T00:00:00Z,0.9509558273022212,95262,100175,192,4038,3225,0.7986627043090639,49293,19171,1012,67,0,3,1929,2098,NA,2022-23,2022-12-06
2022-12-07T00:00:00Z,0.9492196854793645,95127,100216,205,4038,3294,0.8157503714710252,49157,19115,1079,74,0,1,1850,1895,NA,2022-23,2022-12-07
2022-12-08T00:00:00Z,0.9498097644274458,95113,100139,248,4053,3331,0.8218603503577597,48718,18983,1126,92,0,0,1781,1699,NA,2022-23,2022-12-08
2022-12-09T00:00:00Z,0.9485494197679072,94817,99960,243,4054,3316,0.8179575727676369,48342,18947,1286,93,0,1,1847,1732,NA,2022-23,2022-12-09
2022-12-10T00:00:00Z,0.9368068485388165,92579,98824,270,4013,3198,0.7969100423623224,46916,18549,1285,96,0,3,1660,1515,NA,2022-23,2022-12-10
2022-12-11T00:00:00Z,0.938356025609855,92627,98712,255,3982,3104,0.779507785032647,47176,18716,1377,102,0,1,1688,1646,NA,2022-23,2022-12-11
2022-12-12T00:00:00Z,0.9465528811963501,94501,99837,218,4018,3163,0.7872075659532105,49046,19319,1588,105,0,0,1672,2330,NA,2022-23,2022-12-12
2022-12-13T00:00:00Z,0.9532933056730232,95581,100264,235,4039,3341,0.8271849467690022,49598,19445,1639,115,0,2,1791,2412,NA,2022-23,2022-12-13
2022-12-14T00:00:00Z,0.9539029986392396,96038,100679,240,4053,3387,0.8356772760917839,49695,19425,1760,131,0,2,1701,2367,NA,2022-23,2022-12-14
2022-12-15T00:00:00Z,0.9525499775661798,95536,100295,279,4049,3381,0.8350209928377377,49183,19237,1928,158,0,2,1629,2440,NA,2022-23,2022-12-15
2022-12-16T00:00:00Z,0.9426262262982278,94355,100098,260,4037,3337,0.8266039137973743,48466,19046,2133,174,0,1,1642,2247,NA,2022-23,2022-12-16
2022-12-17T00:00:00Z,0.9313003890738438,92873,99724,268,4016,3246,0.8082669322709163,47197,18630,2196,173,0,1,1723,2321,NA,2022-23,2022-12-17
2022-12-18T00:00:00Z,0.9301966756504925,92842,99809,289,4005,3170,0.7915106117353309,47341,18697,2329,186,0,4,1568,2262,NA,2022-23,2022-12-18
2022-12-19T00:00:00Z,0.9459144666109186,95019,100452,223,4009,3249,0.8104265402843602,48763,19025,2693,215,0,1,1578,3021,NA,2022-23,2022-12-19
2022-12-20T00:00:00Z,0.951317125619736,95556,100446,258,4027,3384,0.840327787434815,49154,19122,3018,248,0,3,1743,2614,NA,2022-23,2022-12-20
2022-12-21T00:00:00Z,0.9481994955012215,95478,100694,253,4069,3392,0.8336200540673384,48399,18732,3300,276,0,2,1261,1053,NA,2022-23,2022-12-21
2022-12-22T00:00:00Z,0.9423057803583146,94779,100582,269,4100,3419,0.8339024390243902,47205,18339,3731,296,0,2,2007,1866,NA,2022-23,2022-12-22
2022-12-23T00:00:00Z,0.9346050408406067,93482,100023,284,4095,3389,0.8275946275946275,45577,17797,3880,288,0,4,2029,2052,NA,2022-23,2022-12-23
2022-12-24T00:00:00Z,0.9056480014531217,89747,99097,332,4067,3254,0.8000983525940497,43433,17101,3882,268,0,4,1842,1679,NA,2022-23,2022-12-24
2022-12-25T00:00:00Z,0.8842378312395097,86925,98305,373,4006,3094,0.7723414877683474,42840,16889,3849,279,0,1,1853,1647,NA,2022-23,2022-12-25
2022-12-26T00:00:00Z,0.9011495653586806,88738,98472,356,4024,3119,0.7750994035785288,44309,17268,4336,301,0,4,1886,2302,NA,2022-23,2022-12-26
2022-12-27T00:00:00Z,0.9212515221351153,91542,99367,288,4006,3162,0.7893160259610584,46988,17904,4564,316,0,1,1785,2841,NA,2022-23,2022-12-27
2022-12-28T00:00:00Z,0.9382644553832636,93970,100153,283,4030,3254,0.8074441687344913,50036,18544,5028,329,0,0,1710,3028,NA,2022-23,2022-12-28
2022-12-29T00:00:00Z,0.9461330063873123,95690,101138,266,4061,3372,0.8303373553311992,51483,18772,5178,330,0,1,1635,2867,NA,2022-23,2022-12-29
2022-12-30T00:00:00Z,0.9460901818038334,95908,101373,292,4082,3423,0.8385595296423322,51386,18763,5732,360,0,3,1800,2803,NA,2022-23,2022-12-30
2022-12-31T00:00:00Z,0.9377117049303726,94677,100966,246,4061,3409,0.839448411721251,50190,18462,5452,359,0,5,1619,2406,NA,2022-23,2022-12-31
2023-01-01T00:00:00Z,0.9328852377396066,93685,100425,293,4010,3301,0.8231920199501247,50111,18436,5447,355,0,3,1933,2473,NA,2022-23,2023-01-01
2023-01-02T00:00:00Z,0.937811907809229,94523,100791,252,4029,3333,0.827252419955324,51466,18952,5779,395,0,8,1860,2358,NA,2022-23,2023-01-02
2023-01-03T00:00:00Z,0.9469220674931939,96694,102114,254,4064,3316,0.8159448818897638,53157,19480,5692,382,0,3,1820,2517,NA,2022-23,2023-01-03
2023-01-04T00:00:00Z,0.9537719298245614,97857,102600,233,4130,3497,0.8467312348668281,53231,19860,5248,366,0,3,1704,2511,NA,2022-23,2023-01-04
2023-01-05T00:00:00Z,0.953005688016207,97847,102672,262,4167,3528,0.8466522678185745,52943,19800,4916,365,0,2,1767,1770,NA,2022-23,2023-01-05
2023-01-06T00:00:00Z,0.9498401746384438,97465,102612,294,4109,3493,0.8500851788756388,51904,19548,4584,301,0,2,1841,1827,NA,2022-23,2023-01-06
2023-01-07T00:00:00Z,0.9388312718512207,95865,102111,229,4097,3428,0.8367097876494997,50960,19430,4192,330,0,2,1571,1334,NA,2022-23,2023-01-07
2023-01-08T00:00:00Z,0.9383673069384555,95751,102040,273,4096,3324,0.8115234375,51037,19629,3984,301,0,3,1622,1247,NA,2022-23,2023-01-08
2023-01-09T00:00:00Z,0.9456590667408122,96931,102501,222,4044,3303,0.8167655786350149,52323,20223,4092,269,0,3,1788,1854,NA,2022-23,2023-01-09
2023-01-10T00:00:00Z,0.9482869005121838,97757,103088,223,4073,3420,0.8396759145592929,52124,20405,3749,261,0,2,1778,1547,NA,2022-23,2023-01-10
2023-01-11T00:00:00Z,0.9499678531766906,97518,102654,263,4104,3453,0.841374269005848,51734,20469,3356,231,0,3,1037,444,NA,2022-23,2023-01-11
2023-01-12T00:00:00Z,0.9467729644176095,96906,102354,258,4123,3469,0.8413776376424933,51197,20450,3127,216,0,5,1509,777,NA,2022-23,2023-01-12
2023-01-13T00:00:00Z,0.9446124042384573,96546,102207,252,4093,3451,0.8431468360615685,50314,20190,2993,198,0,2,1552,716,NA,2022-23,2023-01-13
2023-01-14T00:00:00Z,0.9309328839881357,94472,101481,228,4088,3331,0.8148238747553816,48822,19818,2709,186,0,2,1376,561,NA,2022-23,2023-01-14
2023-01-15T00:00:00Z,0.9301639311903517,94247,101323,204,4056,3184,0.7850098619329389,48975,20027,2555,184,0,1,1373,506,NA,2022-23,2023-01-15
2023-01-16T00:00:00Z,0.9389063099017979,95514,101729,216,4056,3195,0.7877218934911243,50647,20417,2427,183,0,3,1636,1026,NA,2022-23,2023-01-16
2023-01-17T00:00:00Z,0.9474112331801209,96671,102037,200,4081,3330,0.8159764763538349,50864,20314,2185,158,0,3,1663,1063,NA,2022-23,2023-01-17
2023-01-18T00:00:00Z,0.9474928394867972,96595,101948,214,4080,3345,0.8198529411764706,50959,20051,2051,152,0,1,1635,787,NA,2022-23,2023-01-18
2023-01-19T00:00:00Z,0.9424609232648157,95689,101531,193,4068,3314,0.8146509341199607,50131,19749,1835,143,0,0,1574,782,NA,2022-23,2023-01-19
2023-01-20T00:00:00Z,0.9384182742118506,95104,101345,206,4026,3292,0.8176850471932439,49641,19662,1690,116,0,4,1573,656,NA,2022-23,2023-01-20
2023-01-21T00:00:00Z,0.9264561737012504,93573,101001,239,4028,3229,0.8016385302879842,48191,19445,1594,110,0,4,1325,427,NA,2022-23,2023-01-21
2023-01-22T00:00:00Z,0.9239071078942405,93055,100719,215,4004,3127,0.7809690309690309,48241,19576,1468,127,0,4,1188,380,NA,2022-23,2023-01-22
2023-01-23T00:00:00Z,0.9355588986321978,94527,101038,250,3983,3071,0.7710268641727341,49532,19876,1463,100,0,1,1107,400,NA,2022-23,2023-01-23
