year,day_of_year,name,value
2015-16 to 2019-20,2021-12-22,Beds occupied,88300
2015-16 to 2019-20,2021-12-23,Beds occupied,83081
2015-16 to 2019-20,2021-12-24,Beds occupied,76854
2015-16 to 2019-20,2021-12-25,Beds occupied,78932.5
2015-16 to 2019-20,2021-12-26,Beds occupied,82752.5
2015-16 to 2019-20,2021-12-27,Beds occupied,86858.5
2015-16 to 2019-20,2021-12-28,Beds occupied,89415.5
2015-16 to 2019-20,2021-12-29,Beds occupied,90424
2015-16 to 2019-20,2021-12-30,Beds occupied,90082
2015-16 to 2019-20,2021-12-31,Beds occupied,89514
2015-16 to 2019-20,2022-01-01,Beds occupied,90244.5
2015-16 to 2019-20,2022-01-02,Beds occupied,91780
2015-16 to 2019-20,2022-01-03,Beds occupied,92481.5
2015-16 to 2019-20,2022-01-04,Beds occupied,94300
2015-16 to 2019-20,2022-01-05,Beds occupied,92930
2015-16 to 2019-20,2022-01-06,Beds occupied,94632
2015-16 to 2019-20,2022-01-07,Beds occupied,94138
2015-16 to 2019-20,2022-01-08,Beds occupied,94771
2015-16 to 2019-20,2022-01-09,Beds occupied,94262
2015-16 to 2019-20,2022-01-10,Beds occupied,93328
2015-16 to 2019-20,2022-01-11,Beds occupied,93833
2015-16 to 2019-20,2022-01-12,Beds occupied,93497
2015-16 to 2019-20,2022-01-13,Beds occupied,93317
2015-16 to 2019-20,2022-01-14,Beds occupied,93723
2015-16 to 2019-20,2022-01-15,Beds occupied,94687
2015-16 to 2019-20,2022-01-16,Beds occupied,94327.5
2015-16 to 2019-20,2022-01-17,Beds occupied,93438
2015-16 to 2019-20,2022-01-18,Beds occupied,93713
2015-16 to 2019-20,2022-01-19,Beds occupied,92542
2015-16 to 2019-20,2022-01-20,Beds occupied,93819
2015-16 to 2019-20,2022-01-21,Beds occupied,93464
2015-16 to 2019-20,2022-01-22,Beds occupied,94802
2015-16 to 2019-20,2022-01-23,Beds occupied,93905.5
2015-16 to 2019-20,2022-01-24,Beds occupied,93700
2015-16 to 2019-20,2022-01-25,Beds occupied,93898
2015-16 to 2019-20,2022-01-26,Beds occupied,92515
2015-16 to 2019-20,2022-01-27,Beds occupied,92846
2015-16 to 2019-20,2022-01-28,Beds occupied,93782
2015-16 to 2019-20,2022-01-29,Beds occupied,94912
2015-16 to 2019-20,2022-01-30,Beds occupied,94315
2015-16 to 2019-20,2022-01-31,Beds occupied,93672.5
2015-16 to 2019-20,2022-02-01,Beds occupied,94077
2015-16 to 2019-20,2022-02-02,Beds occupied,92980
2015-16 to 2019-20,2022-02-03,Beds occupied,94011
2015-16 to 2019-20,2022-02-04,Beds occupied,93958
2015-16 to 2019-20,2022-02-05,Beds occupied,94497
2015-16 to 2019-20,2022-02-06,Beds occupied,94462.5
2015-16 to 2019-20,2022-02-07,Beds occupied,94072.5
2015-16 to 2019-20,2022-02-08,Beds occupied,93455
2015-16 to 2019-20,2022-02-09,Beds occupied,91930
2015-16 to 2019-20,2022-02-10,Beds occupied,93293
2015-16 to 2019-20,2022-02-11,Beds occupied,92929
2015-16 to 2019-20,2022-02-12,Beds occupied,94381
2015-16 to 2019-20,2022-02-13,Beds occupied,94217
2015-16 to 2019-20,2022-02-14,Beds occupied,93567.5
2015-16 to 2019-20,2022-02-15,Beds occupied,93639
2015-16 to 2019-20,2022-02-16,Beds occupied,91655
2015-16 to 2019-20,2022-02-17,Beds occupied,92197
2015-16 to 2019-20,2022-02-18,Beds occupied,93626
2015-16 to 2019-20,2022-02-19,Beds occupied,93463
2015-16 to 2019-20,2022-02-20,Beds occupied,93511
2015-16 to 2019-20,2022-02-21,Beds occupied,92716.5
2015-16 to 2019-20,2022-02-22,Beds occupied,94179
2015-16 to 2019-20,2022-02-23,Beds occupied,92526
2015-16 to 2019-20,2022-02-24,Beds occupied,92070
2015-16 to 2019-20,2022-02-25,Beds occupied,92677
2015-16 to 2019-20,2022-02-26,Beds occupied,92982
2015-16 to 2019-20,2022-02-27,Beds occupied,93399.5
2015-16 to 2019-20,2022-02-28,Beds occupied,92656
2015-16 to 2019-20,2022-03-01,Beds occupied,92880.5
2015-16 to 2019-20,2022-03-02,Beds occupied,91722
2015-16 to 2019-20,2022-03-03,Beds occupied,91652
2015-16 to 2019-20,2022-03-04,Beds occupied,92018.5
2015-16 to 2019-20,2022-03-05,Beds occupied,94533
2015-16 to 2019-20,2022-03-06,Beds occupied,96117
2015-16 to 2019-20,2022-03-07,Beds occupied,95767
2015-16 to 2019-20,2022-03-08,Beds occupied,95100
2015-16 to 2019-20,2022-03-09,Beds occupied,94516
2015-16 to 2019-20,2022-03-10,Beds occupied,90520
2015-16 to 2019-20,2022-03-11,Beds occupied,89752
2015-16 to 2019-20,2022-03-12,Beds occupied,93446
2015-16 to 2019-20,NA,Beds occupied,89904
2015-16 to 2019-20,2021-11-20,CC beds free,696
2015-16 to 2019-20,2021-11-21,CC beds free,594
2015-16 to 2019-20,2021-11-22,CC beds free,587
2015-16 to 2019-20,2021-11-23,CC beds free,590
2015-16 to 2019-20,2021-11-24,CC beds free,675
2015-16 to 2019-20,2021-11-25,CC beds free,717
2015-16 to 2019-20,2021-11-26,CC beds free,760
2015-16 to 2019-20,2021-11-27,CC beds free,648
2015-16 to 2019-20,2021-11-28,CC beds free,581
2015-16 to 2019-20,2021-11-29,CC beds free,556
2015-16 to 2019-20,2021-11-30,CC beds free,565
2015-16 to 2019-20,2021-12-01,CC beds free,620
2015-16 to 2019-20,2021-12-02,CC beds free,578.5
2015-16 to 2019-20,2021-12-03,CC beds free,620
2015-16 to 2019-20,2021-12-04,CC beds free,591
2015-16 to 2019-20,2021-12-05,CC beds free,583.5
2015-16 to 2019-20,2021-12-06,CC beds free,589
2015-16 to 2019-20,2021-12-07,CC beds free,584
2015-16 to 2019-20,2021-12-08,CC beds free,597
2015-16 to 2019-20,2021-12-09,CC beds free,606
2015-16 to 2019-20,2021-12-10,CC beds free,552
2015-16 to 2019-20,2021-12-11,CC beds free,574
2015-16 to 2019-20,2021-12-12,CC beds free,562
2015-16 to 2019-20,2021-12-13,CC beds free,527.5
2015-16 to 2019-20,2021-12-14,CC beds free,565
2015-16 to 2019-20,2021-12-15,CC beds free,553
2015-16 to 2019-20,2021-12-16,CC beds free,563
2015-16 to 2019-20,2021-12-17,CC beds free,577
2015-16 to 2019-20,2021-12-18,CC beds free,647
2015-16 to 2019-20,2021-12-19,CC beds free,572.5
2015-16 to 2019-20,2021-12-20,CC beds free,607.5
2015-16 to 2019-20,2021-12-21,CC beds free,629
2015-16 to 2019-20,2021-12-22,CC beds free,712
2015-16 to 2019-20,2021-12-23,CC beds free,721
2015-16 to 2019-20,2021-12-24,CC beds free,799
2015-16 to 2019-20,2021-12-25,CC beds free,866.5
2015-16 to 2019-20,2021-12-26,CC beds free,823
2015-16 to 2019-20,2021-12-27,CC beds free,777.5
2015-16 to 2019-20,2021-12-28,CC beds free,692
2015-16 to 2019-20,2021-12-29,CC beds free,694
2015-16 to 2019-20,2021-12-30,CC beds free,669
2015-16 to 2019-20,2021-12-31,CC beds free,642
2015-16 to 2019-20,2022-01-01,CC beds free,696.5
2015-16 to 2019-20,2022-01-02,CC beds free,601
2015-16 to 2019-20,2022-01-03,CC beds free,526.5
2015-16 to 2019-20,2022-01-04,CC beds free,551
2015-16 to 2019-20,2022-01-05,CC beds free,480
2015-16 to 2019-20,2022-01-06,CC beds free,500
2015-16 to 2019-20,2022-01-07,CC beds free,489
2015-16 to 2019-20,2022-01-08,CC beds free,526
2015-16 to 2019-20,2022-01-09,CC beds free,497
2015-16 to 2019-20,2022-01-10,CC beds free,511.5
2015-16 to 2019-20,2022-01-11,CC beds free,503
2015-16 to 2019-20,2022-01-12,CC beds free,522
2015-16 to 2019-20,2022-01-13,CC beds free,555
2015-16 to 2019-20,2022-01-14,CC beds free,515
2015-16 to 2019-20,2022-01-15,CC beds free,573
2015-16 to 2019-20,2022-01-16,CC beds free,512.5
2015-16 to 2019-20,2022-01-17,CC beds free,523.5
2015-16 to 2019-20,2022-01-18,CC beds free,546
2015-16 to 2019-20,2022-01-19,CC beds free,532
2015-16 to 2019-20,2022-01-20,CC beds free,522
2015-16 to 2019-20,2022-01-21,CC beds free,565
2015-16 to 2019-20,2022-01-22,CC beds free,580
2015-16 to 2019-20,2022-01-23,CC beds free,541
2015-16 to 2019-20,2022-01-24,CC beds free,531
2015-16 to 2019-20,2022-01-25,CC beds free,546
2015-16 to 2019-20,2022-01-26,CC beds free,549
2015-16 to 2019-20,2022-01-27,CC beds free,592
2015-16 to 2019-20,2022-01-28,CC beds free,611
2015-16 to 2019-20,2022-01-29,CC beds free,564
2015-16 to 2019-20,2022-01-30,CC beds free,521
2015-16 to 2019-20,2022-01-31,CC beds free,501
2015-16 to 2019-20,2022-02-01,CC beds free,524
2015-16 to 2019-20,2022-02-02,CC beds free,551
2015-16 to 2019-20,2022-02-03,CC beds free,586
2015-16 to 2019-20,2022-02-04,CC beds free,568
2015-16 to 2019-20,2022-02-05,CC beds free,597
2015-16 to 2019-20,2022-02-06,CC beds free,505
2015-16 to 2019-20,2022-02-07,CC beds free,525
2015-16 to 2019-20,2022-02-08,CC beds free,502
2015-16 to 2019-20,2022-02-09,CC beds free,545
2015-16 to 2019-20,2022-02-10,CC beds free,612
2015-16 to 2019-20,2022-02-11,CC beds free,586
2015-16 to 2019-20,2022-02-12,CC beds free,635
2015-16 to 2019-20,2022-02-13,CC beds free,588
2015-16 to 2019-20,2022-02-14,CC beds free,557
2015-16 to 2019-20,2022-02-15,CC beds free,549
2015-16 to 2019-20,2022-02-16,CC beds free,625
2015-16 to 2019-20,2022-02-17,CC beds free,653
2015-16 to 2019-20,2022-02-18,CC beds free,616
2015-16 to 2019-20,2022-02-19,CC beds free,597
2015-16 to 2019-20,2022-02-20,CC beds free,603
2015-16 to 2019-20,2022-02-21,CC beds free,570
2015-16 to 2019-20,2022-02-22,CC beds free,638
2015-16 to 2019-20,2022-02-23,CC beds free,595
2015-16 to 2019-20,2022-02-24,CC beds free,619
2015-16 to 2019-20,2022-02-25,CC beds free,607
2015-16 to 2019-20,2022-02-26,CC beds free,579
2015-16 to 2019-20,2022-02-27,CC beds free,608
2015-16 to 2019-20,2022-02-28,CC beds free,611.5
2015-16 to 2019-20,2022-03-01,CC beds free,607
2015-16 to 2019-20,2022-03-02,CC beds free,569
2015-16 to 2019-20,2022-03-03,CC beds free,715
2015-16 to 2019-20,2022-03-04,CC beds free,722.5
2015-16 to 2019-20,2022-03-05,CC beds free,824
2015-16 to 2019-20,2022-03-06,CC beds free,641
2015-16 to 2019-20,2022-03-07,CC beds free,583
2015-16 to 2019-20,2022-03-08,CC beds free,615
2015-16 to 2019-20,2022-03-09,CC beds free,600
2015-16 to 2019-20,2022-03-10,CC beds free,604
2015-16 to 2019-20,2022-03-11,CC beds free,721
2015-16 to 2019-20,2022-03-12,CC beds free,770
2015-16 to 2019-20,NA,CC beds free,732
2015-16 to 2019-20,2021-11-20,CC beds occupied,2942
2015-16 to 2019-20,2021-11-21,CC beds occupied,2973
2015-16 to 2019-20,2021-11-22,CC beds occupied,3017
2015-16 to 2019-20,2021-11-23,CC beds occupied,3092
2015-16 to 2019-20,2021-11-24,CC beds occupied,2878
2015-16 to 2019-20,2021-11-25,CC beds occupied,2829
2015-16 to 2019-20,2021-11-26,CC beds occupied,2831
2015-16 to 2019-20,2021-11-27,CC beds occupied,3051
2015-16 to 2019-20,2021-11-28,CC beds occupied,3119
2015-16 to 2019-20,2021-11-29,CC beds occupied,3147
2015-16 to 2019-20,2021-11-30,CC beds occupied,3166.5
2015-16 to 2019-20,2021-12-01,CC beds occupied,3016
2015-16 to 2019-20,2021-12-02,CC beds occupied,3049.5
2015-16 to 2019-20,2021-12-03,CC beds occupied,3056
2015-16 to 2019-20,2021-12-04,CC beds occupied,3114
2015-16 to 2019-20,2021-12-05,CC beds occupied,3147.5
2015-16 to 2019-20,2021-12-06,CC beds occupied,3161
2015-16 to 2019-20,2021-12-07,CC beds occupied,3224
2015-16 to 2019-20,2021-12-08,CC beds occupied,3020
2015-16 to 2019-20,2021-12-09,CC beds occupied,3004
2015-16 to 2019-20,2021-12-10,CC beds occupied,3134
2015-16 to 2019-20,2021-12-11,CC beds occupied,3137
2015-16 to 2019-20,2021-12-12,CC beds occupied,3120.5
2015-16 to 2019-20,2021-12-13,CC beds occupied,3136.5
2015-16 to 2019-20,2021-12-14,CC beds occupied,3187
2015-16 to 2019-20,2021-12-15,CC beds occupied,3096
2015-16 to 2019-20,2021-12-16,CC beds occupied,3028
2015-16 to 2019-20,2021-12-17,CC beds occupied,3050
2015-16 to 2019-20,2021-12-18,CC beds occupied,3127
2015-16 to 2019-20,2021-12-19,CC beds occupied,3122.5
2015-16 to 2019-20,2021-12-20,CC beds occupied,3069
2015-16 to 2019-20,2021-12-21,CC beds occupied,3093
2015-16 to 2019-20,2021-12-22,CC beds occupied,2974
2015-16 to 2019-20,2021-12-23,CC beds occupied,2851
2015-16 to 2019-20,2021-12-24,CC beds occupied,2839
2015-16 to 2019-20,2021-12-25,CC beds occupied,2785.5
2015-16 to 2019-20,2021-12-26,CC beds occupied,2856
2015-16 to 2019-20,2021-12-27,CC beds occupied,2924.5
2015-16 to 2019-20,2021-12-28,CC beds occupied,3016
2015-16 to 2019-20,2021-12-29,CC beds occupied,3052
2015-16 to 2019-20,2021-12-30,CC beds occupied,3055
2015-16 to 2019-20,2021-12-31,CC beds occupied,3025
2015-16 to 2019-20,2022-01-01,CC beds occupied,2964.5
2015-16 to 2019-20,2022-01-02,CC beds occupied,3088
2015-16 to 2019-20,2022-01-03,CC beds occupied,3203.5
2015-16 to 2019-20,2022-01-04,CC beds occupied,3291
2015-16 to 2019-20,2022-01-05,CC beds occupied,3251
2015-16 to 2019-20,2022-01-06,CC beds occupied,3200
2015-16 to 2019-20,2022-01-07,CC beds occupied,3191
2015-16 to 2019-20,2022-01-08,CC beds occupied,3245
2015-16 to 2019-20,2022-01-09,CC beds occupied,3234
2015-16 to 2019-20,2022-01-10,CC beds occupied,3224
2015-16 to 2019-20,2022-01-11,CC beds occupied,3277
2015-16 to 2019-20,2022-01-12,CC beds occupied,3190
2015-16 to 2019-20,2022-01-13,CC beds occupied,3128
2015-16 to 2019-20,2022-01-14,CC beds occupied,3205
2015-16 to 2019-20,2022-01-15,CC beds occupied,3262
2015-16 to 2019-20,2022-01-16,CC beds occupied,3237.5
2015-16 to 2019-20,2022-01-17,CC beds occupied,3221.5
2015-16 to 2019-20,2022-01-18,CC beds occupied,3159
2015-16 to 2019-20,2022-01-19,CC beds occupied,3139
2015-16 to 2019-20,2022-01-20,CC beds occupied,3048
2015-16 to 2019-20,2022-01-21,CC beds occupied,3196
2015-16 to 2019-20,2022-01-22,CC beds occupied,3163
2015-16 to 2019-20,2022-01-23,CC beds occupied,3195
2015-16 to 2019-20,2022-01-24,CC beds occupied,3191.5
2015-16 to 2019-20,2022-01-25,CC beds occupied,3185
2015-16 to 2019-20,2022-01-26,CC beds occupied,3054
2015-16 to 2019-20,2022-01-27,CC beds occupied,3017
2015-16 to 2019-20,2022-01-28,CC beds occupied,3173
2015-16 to 2019-20,2022-01-29,CC beds occupied,3190
2015-16 to 2019-20,2022-01-30,CC beds occupied,3206
2015-16 to 2019-20,2022-01-31,CC beds occupied,3185.5
2015-16 to 2019-20,2022-02-01,CC beds occupied,3205
2015-16 to 2019-20,2022-02-02,CC beds occupied,3116
2015-16 to 2019-20,2022-02-03,CC beds occupied,3070
2015-16 to 2019-20,2022-02-04,CC beds occupied,3194
2015-16 to 2019-20,2022-02-05,CC beds occupied,3202
2015-16 to 2019-20,2022-02-06,CC beds occupied,3216.5
2015-16 to 2019-20,2022-02-07,CC beds occupied,3201.5
2015-16 to 2019-20,2022-02-08,CC beds occupied,3166
2015-16 to 2019-20,2022-02-09,CC beds occupied,3113
2015-16 to 2019-20,2022-02-10,CC beds occupied,3053
2015-16 to 2019-20,2022-02-11,CC beds occupied,3176
2015-16 to 2019-20,2022-02-12,CC beds occupied,3079
2015-16 to 2019-20,2022-02-13,CC beds occupied,3186
2015-16 to 2019-20,2022-02-14,CC beds occupied,3186.5
2015-16 to 2019-20,2022-02-15,CC beds occupied,3154
2015-16 to 2019-20,2022-02-16,CC beds occupied,3046
2015-16 to 2019-20,2022-02-17,CC beds occupied,3032
2015-16 to 2019-20,2022-02-18,CC beds occupied,3063
2015-16 to 2019-20,2022-02-19,CC beds occupied,3171
2015-16 to 2019-20,2022-02-20,CC beds occupied,3181
2015-16 to 2019-20,2022-02-21,CC beds occupied,3143.5
2015-16 to 2019-20,2022-02-22,CC beds occupied,3181
2015-16 to 2019-20,2022-02-23,CC beds occupied,3081
2015-16 to 2019-20,2022-02-24,CC beds occupied,3022
2015-16 to 2019-20,2022-02-25,CC beds occupied,3087
2015-16 to 2019-20,2022-02-26,CC beds occupied,3102
2015-16 to 2019-20,2022-02-27,CC beds occupied,3148.5
2015-16 to 2019-20,2022-02-28,CC beds occupied,3103.5
2015-16 to 2019-20,2022-03-01,CC beds occupied,3100.5
2015-16 to 2019-20,2022-03-02,CC beds occupied,3060
2015-16 to 2019-20,2022-03-03,CC beds occupied,2997
2015-16 to 2019-20,2022-03-04,CC beds occupied,2985
2015-16 to 2019-20,2022-03-05,CC beds occupied,3079
2015-16 to 2019-20,2022-03-06,CC beds occupied,3288
2015-16 to 2019-20,2022-03-07,CC beds occupied,3336
2015-16 to 2019-20,2022-03-08,CC beds occupied,3304
2015-16 to 2019-20,2022-03-09,CC beds occupied,3321
2015-16 to 2019-20,2022-03-10,CC beds occupied,3204
2015-16 to 2019-20,2022-03-11,CC beds occupied,3055
2015-16 to 2019-20,2022-03-12,CC beds occupied,3118
2015-16 to 2019-20,NA,CC beds occupied,2909
