Date,Name,Occupancy rate,G&A beds occ'd,G&A Beds Open,Critical care beds occupancy rate,No. beds occupied by flu patients (Critical Care),No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),day_of_year
2021-12-05T00:00:00Z,London North West University Healthcare NHS Trust,0.9727965179542981,894,919,0.9666666666666667,0,466,137,2021-12-05
2021-11-29T00:00:00Z,Royal Surrey County Hospital NHS Foundation Trust,0.944206008583691,440,466,0.8333333333333334,0,175,55,2021-11-29
2021-11-30T00:00:00Z,Royal Surrey County Hospital NHS Foundation Trust,0.9369565217391305,431,460,0.75,0,182,57,2021-11-30
2021-12-01T00:00:00Z,Royal Surrey County Hospital NHS Foundation Trust,0.9397849462365592,437,465,0.8333333333333334,0,180,53,2021-12-01
2021-12-02T00:00:00Z,Royal Surrey County Hospital NHS Foundation Trust,0.9344978165938864,428,458,0.75,0,175,54,2021-12-02
2021-12-03T00:00:00Z,Royal Surrey County Hospital NHS Foundation Trust,0.9172113289760349,421,459,0.8421052631578947,0,175,53,2021-12-03
2021-12-04T00:00:00Z,Royal Surrey County Hospital NHS Foundation Trust,0.8903508771929824,406,456,0.9375,0,169,52,2021-12-04
2021-12-05T00:00:00Z,Royal Surrey County Hospital NHS Foundation Trust,0.9166666666666666,418,456,0.9333333333333333,0,186,54,2021-12-05
2021-11-29T00:00:00Z,Yeovil District Hospital NHS Foundation Trust,0.9567723342939481,332,347,0.9,0,167,52,2021-11-29
2021-11-30T00:00:00Z,Yeovil District Hospital NHS Foundation Trust,0.9771428571428571,342,350,0.9,0,167,49,2021-11-30
2021-12-01T00:00:00Z,Yeovil District Hospital NHS Foundation Trust,0.9771428571428571,342,350,0.9,0,155,45,2021-12-01
2021-12-02T00:00:00Z,Yeovil District Hospital NHS Foundation Trust,0.9825581395348837,338,344,0.9,0,168,49,2021-12-02
2021-12-03T00:00:00Z,Yeovil District Hospital NHS Foundation Trust,0.967551622418879,328,339,0.9,0,167,55,2021-12-03
2021-12-04T00:00:00Z,Yeovil District Hospital NHS Foundation Trust,0.9523809523809523,320,336,0.7,0,152,49,2021-12-04
2021-12-05T00:00:00Z,Yeovil District Hospital NHS Foundation Trust,0.9380530973451328,318,339,0.7,0,151,45,2021-12-05
2021-11-29T00:00:00Z,University Hospitals Bristol and Weston NHS Foundation Trust,0.9727965179542981,894,919,0.8979591836734694,0,483,191,2021-11-29
2021-11-30T00:00:00Z,University Hospitals Bristol and Weston NHS Foundation Trust,0.9847161572052402,902,916,0.9375,0,489,192,2021-11-30
2021-12-01T00:00:00Z,University Hospitals Bristol and Weston NHS Foundation Trust,0.9934426229508196,909,915,0.9583333333333334,0,474,186,2021-12-01
2021-12-02T00:00:00Z,University Hospitals Bristol and Weston NHS Foundation Trust,0.9945828819068255,918,923,0.9791666666666666,0,482,191,2021-12-02
2021-12-03T00:00:00Z,University Hospitals Bristol and Weston NHS Foundation Trust,0.9945474372955289,912,917,0.9166666666666666,0,469,191,2021-12-03
2021-12-04T00:00:00Z,University Hospitals Bristol and Weston NHS Foundation Trust,0.99235807860262,909,916,0.9166666666666666,0,447,195,2021-12-04
2021-12-05T00:00:00Z,University Hospitals Bristol and Weston NHS Foundation Trust,0.9846994535519126,901,915,0.8541666666666666,0,449,193,2021-12-05
2021-11-29T00:00:00Z,Torbay and South Devon NHS Foundation Trust,0.9492957746478873,337,355,0.5,0,162,48,2021-11-29
2021-11-30T00:00:00Z,Torbay and South Devon NHS Foundation Trust,0.9606741573033708,342,356,0.6,0,172,50,2021-11-30
2021-12-01T00:00:00Z,Torbay and South Devon NHS Foundation Trust,0.9549295774647887,339,355,0.6,0,170,49,2021-12-01
2021-12-02T00:00:00Z,Torbay and South Devon NHS Foundation Trust,0.9549295774647887,339,355,0.7,0,173,51,2021-12-02
2021-12-03T00:00:00Z,Torbay and South Devon NHS Foundation Trust,0.943502824858757,334,354,0.8,0,178,51,2021-12-03
2021-12-04T00:00:00Z,Torbay and South Devon NHS Foundation Trust,0.9461756373937678,334,353,0.8,0,162,51,2021-12-04
2021-12-05T00:00:00Z,Torbay and South Devon NHS Foundation Trust,0.9530386740331491,345,362,0.7,0,158,52,2021-12-05
2021-11-29T00:00:00Z,Bradford Teaching Hospitals NHS Foundation Trust,0.9610619469026549,543,565,1,0,221,68,2021-11-29
